"Set","PhageID","Host","Bacteria","StrainLabel","Count","Dilution","VolumePlated","PFU_mL","EOP","LFW","HostSpecies","Name","Year","LifeCycle","AtEmory"
1,"T4D1.1.1","Arthrobacter globiformis​","B2979","TARGET",7,7,3,23333333333.3333,NA,"N","globiformis​","PrettyLilBaby",2025,"","Y"
1,"T10E.1.1.1","Arthrobacter globiformis​","B2880","B",0,0,3,0,NA,"N","globiformis​","Hengyu",2025,"Temperate","Y"
1,"T10E.1.1.1","Arthrobacter globiformis​","B24025","F",2,7,3,6666666666.66667,0.666666666666667,"N","globiformis​","Hengyu",2025,"Temperate","Y"
1,"T10E.1.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,0,NA,"N","oryzae​","Hengyu",2025,"Temperate","Y"
1,"T10E.1.1.1","Arthrobacter globiformis​","B2979","TARGET",3,7,3,1e+10,NA,"N","globiformis​","Hengyu",2025,"Temperate","Y"
1,"T37E.4.5.3","Arthrobacter globiformis​","B2880","B",1,7,3,3.33e+09,0.411111111111111,"N","globiformis​","BuldakRamen",2025,"Temperate","Y"
1,"T37E.4.5.3","Arthrobacter globiformis​","B24025","F",8,7,3,26666666666.6667,3.29218106995885,"N","globiformis​","BuldakRamen",2025,"Temperate","Y"
1,"T37E.4.5.3","Arthrobacter oryzae​","B24478","G",3,7,3,1e+10,1.23456790123457,"N","oryzae​","BuldakRamen",2025,"Temperate","Y"
1,"T37E.4.5.3","Arthrobacter globiformis​","B2979","TARGET",162,6,20,8.1e+09,NA,"N","globiformis​","BuldakRamen",2025,"Temperate","Y"
1,"T44D.1.1.1.1.1","Arthrobacter globiformis​","B2880","B",13,3,3,4333333.33333333,0.000333333333333333,"N","globiformis​","Elena12",2025,"","Y"
1,"T44D.1.1.1.1.1","Arthrobacter globiformis​","B24025","F",0,0,3,0,NA,"N","globiformis​","Elena12",2025,"","Y"
1,"T44D.1.1.1.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,0,NA,"N","oryzae​","Elena12",2025,"","Y"
1,"T44D.1.1.1.1.1","Arthrobacter globiformis​","B2979","TARGET",0,0,3,3e+10,NA,"N","globiformis​","Elena12",2025,"","Y"
1,"T11E.1.1.1","Arthrobacter globiformis​","B2880","B",1,2,3,33333.3333333333,0.06,"Y","globiformis​","EagleRow",2025,"","Y"
1,"T11E.1.1.1","Arthrobacter globiformis​","B24025","F",20,6,3,6666666666.66667,0.5,"N","globiformis​","EagleRow",2025,"","Y"
1,"T11E.1.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,0,NA,"N","oryzae​","EagleRow",2025,"","Y"
1,"T11E.1.1.1","Arthrobacter globiformis​","B2979","TARGET",4,7,3,13333333333.3333,NA,"N","globiformis​","EagleRow",2025,"","Y"
1,"T9E.1.1.1","Arthrobacter globiformis​","B2880","B",47,2,3,1566666.66666667,1.56666666666667e-05,"N","globiformis​","NovaX7",2025,"","Y"
1,"T9E.1.1.1","Arthrobacter globiformis​","B24025","F",24,7,3,8e+10,0.8,"N","globiformis​","NovaX7",2025,"","Y"
1,"T9E.1.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,0,NA,"N","oryzae​","NovaX7",2025,"","Y"
1,"T9E.1.1.1","Arthrobacter globiformis​","B2979","TARGET",3,8,3,1e+11,NA,"N","globiformis​","NovaX7",2025,"","Y"
