"Set","PhageID","Host","Bacteria","StrainLabel","Count","Dilution","VolumePlated","PFU_mL","EOP","LFW","HostSpecies","Name","Year","LifeCycle","AtEmory"
1,"32D.4.1.1","Arthrobacter globiformis​","B24025","F",0,0,3,NA,NA,"N","globiformis​","BananaPudding",2024,"Lytic","Y"
1,"32D.4.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,NA,NA,"N","oryzae​","BananaPudding",2024,"Lytic","Y"
1,"32D.4.1.1","Arthrobacter humicola​","B24479","H",0,0,3,NA,NA,"N","humicola​","BananaPudding",2024,"Lytic","Y"
1,"32D.4.1.1","Arthrobacter globiformis​","B2979","TARGET",54,5,3,1.8e+09,NA,"N","globiformis​","BananaPudding",2024,"Lytic","Y"
1,"29E.1.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","IllegallySmol",2024,"","Y"
1,"29E.1.1.1","Arthrobacter globiformis​","B2880","B",21,5,3,7e+08,0.808,"N","globiformis​","IllegallySmol",2024,"","Y"
1,"29E.1.1.1","Arthrobacter globiformis​","B24025","F",0,0,3,NA,NA,"N","globiformis​","IllegallySmol",2024,"","Y"
1,"29E.1.1.1","Arthrobacter oryzae​","B24478","G",1,0,3,333,3.85e-07,"Y","oryzae​","IllegallySmol",2024,"","Y"
1,"29E.1.1.1","Arthrobacter humicola​","B24479","H",1,0,3,333,3.85e-07,"Y","humicola​","IllegallySmol",2024,"","Y"
1,"29E.1.1.1","Arthrobacter globiformis​","B2979","TARGET",26,5,3,8.67e+08,NA,"N","globiformis​","IllegallySmol",2024,"","Y"
1,"35E.1.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","EpicSnackTime",2024,"Temperate","Y"
1,"35E.1.1.1","Arthrobacter globiformis​","B2880","B",7,5,3,2.33e+08,0.05,"N","globiformis​","EpicSnackTime",2024,"Temperate","Y"
1,"35E.1.1.1","Arthrobacter globiformis​","B24025","F",4,6,3,1.33e+09,0.286,"N","globiformis​","EpicSnackTime",2024,"Temperate","Y"
1,"35E.1.1.1","Arthrobacter oryzae​","B24478","G",8,3,3,2670000,0.000571,"N","oryzae​","EpicSnackTime",2024,"Temperate","Y"
1,"35E.1.1.1","Arthrobacter humicola​","B24479","H",0,0,3,NA,NA,"N","humicola​","EpicSnackTime",2024,"Temperate","Y"
1,"35E.1.1.1","Arthrobacter globiformis​","B2979","TARGET",14,6,3,4.67e+09,NA,"N","globiformis​","EpicSnackTime",2024,"Temperate","Y"
1,"35E.2.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","CherokeeRose",2024,"","Y"
